company,total_complaints
It is now XX/XX/XXXX and I have heard absolutely nothing from BofA about this case,1
NOTICE. EQUITY CONCERNS ITSELF WITH SUBSTANCE AND NOT FORM. Equitable Subrogation is forward-looking rooted in the equity maxim... equity regards done what ought to be done. Equitable subrogation is not founded upon contract,1
Several times ( at least four,1
"I am appalled by how Capital One is treating me. I have been a longstanding customer with them yet they are not protecting my best interest.\"",1
2. Uniform Commercial Code ( UCC ) : The UCC,1
Both cards are still advertising that 0 % interest period,1
We called Citi,1
This information was not disclosed by the Nursery associate who filled out the credit application with me. This information was not disclosed by email at the time that my acceptance email was sent nor when the CC itself was sent. It was not disclosed when I set up my online account and made the first payment. If it was included in the wording of any literature attached,1
CFPB is my only hope now. I am attaching the photos of the paper cardmember agreement I have which explicitly states that I am entitled to the two aforementioned benefits - the benefits that American Express refuses to provide me,1
Description : PayPal retains a security interest as per the agreement. Ideally,1
Makes me wonder how often this happens,1
by the Federal Reserve Act,1
"Last warning!\"",1
Comentity Bank called my XXXX which XXXX XXXX XXXX provided caller ID name detail on the following occasions : Tuesday XX/XX/2023 at XXXX ; Monday XX/XX/2023 ( XXXX XXXX XXXX XXXX ) at XXXX,1
Moreover,1
I faxed the copy of the police report to Wells Fargo Fraud Department on XX/XX/2023. Then I reopened my case on XX/XX/2023 for the third reconsideration with the assistance of a Wells Fargo Personal Banker,1
I was immediately denied the credit limit increase with the explanation that my account had not been open long enough to request an increase. This conclusion was clearly contradictory to the prominent link on the app,1
"Looking over my transactions with Synchrony -- I estimate that I've lost between {$50.00} and {$100.00} in 5 % credits due to Synchrony applying this unwanted 'promotion ' to Amazon.com purchases.\"",1
Not only did I not receive any response from XXXXXXXX XXXX by email,1
"Moss Law Firm, P.C.",1
Newport Intermediate Inc.,1
THE SOLUTION IS TO TRUNCATE THE CCN TO ITS LAST 4 DIGITS ON ANY PUBLIC FACING MAILINGS/CORRESPONDENCE,1
"The company thinks it's GOD and has a GOD-LIKE complex they should be fined and policies changed to get to upper management!\"",1
Personally speaking,1
After I was tired of trying to reconcile this with Ulta,1
Attached you will find the XXXX XXXX XXXX XXXX and Benefits. In addition,1
Ultimately on top of the drop-off receipt that clearly is an indication the package was returned and being handled by the shipping carrier XXXX,1
"I am a stay at home mom who has XXXX minutes to fight to get my money back. Most people don't have this luxury. I am writing for all the other people they are scamming late fees and interest out of.\"",1
"About a week ago I wrote in and asked this question and received a response ( that's not been removed from my account ) asking me to call in based on my question. I called member services on XX/XX/2023 and waited o ver 20 minutes to be transferred to the credit department only to be told they couldn't help me and that I could email their credit disputes email address for assistance. I simply would just like my information accurately reported in a timely manner just as it has always been on a monthly basis. I am not understanding why this time is different.\"",1
4. It is essential to underscore the importance of Illinois law,1
Citi has claimed that I am responsible for these charges because the thief used my PIN in making the purchases. They have cited a portion of the card agreement which states,1
My phone log indicates I called you at XXXX XXXX  on XX/XX/XXXXXXXX  for the first issue ; at XXXX XXXX. on XX/XX/XXXXXXXX  for the second,1
"I am seeking to have the incorrect interest charge waived in its entirety.\"",1
"Chase can not assure me that all charges have been refunded Chase will not tell me if they can prevent continued fraud.\"",1
"I did this on XX/XX/XXXX and was refunded only {$2500.00}. I contacted them again on XX/XX/XXXX and XX/XX/XXXX. They stated they could see the charges and I would be refunded the rest. This has not happened and I am still owed {$2100.00}.\"",1
"This seems like deceptive trade practices and I'm certain I'm not the only person they have done this to. This additional fee of over {$500.00} is un acceptable and needs to be corrected. I understand the minimum amount increasing due to interest kicking in however I should not be charged an additional years worth of interest on top of the expected monthly interest fee.\"",1
I am at a loss as to what to do. There is an outstanding balance due of XXXX plus interest and late charges of XXXX. There were never any purchases made in the amount of XXXX. If they would just look at the monthly balances due and back out the purchase amounts they would see that it is a mistake that their company made. Also,1
"Please see attached document \\\" XXXX XXXX charged '' showing the exchange rate used to convert the hotel bill from British pounds to US dollars on XXXX.\"",1
There is no online platform where I can report this on their website,1
"7. My credit score was adversely affected by the erroneous reporting.\"",1
"Nowhere on American Express cardmember agreement states that they wont accept XXXX balance transfer. XXXX is a VISA card which under American Express terms should be accepted with no issue. The sole reason I signed up for American Express was for this balance transfer and they are unable to assist me in any way after months of back and forth and no solution. The amount is for {$5500.00}\"",1
Discover card is my last resort and I'm entitled to the right to dispute this charge I'm getting upset 10 minutes ago Agent profile picture Discover We understand wanting to speak to someone else and know this situation has been frustrating for you. I apologize I am unable to transfer you to another representative. I will be happy to assist you moving forward,1
My complaint is that they charged me the annual fee and then dramatically changed the dynamic of the card. I would never pay over {$1000.00} in annual fees for a card with a pre-set limit. It's embarrassing having your card decline at a store you frequent for your business and it's sets the wrong precedence about you as a business owner. If AE wants to add a pre-set spending limit,1
"XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX Now every month they are charging me XXXX late fee and interest on charges that are not mine. I called a XXXX times and they put me on hold then then hangup I am getting nowhere.\"",1
"I have never had any credit card company try to pull this kind of XXXX. Even though the account was closed they continue to charge late fees and raise them each month.\"",1
"On my final call I brought up the analogy of an XXXX shipment that never arrived and how quickly and efficiently XXXX would make that right for their customers. The response was \\\" we're a bank and we do things differently '' Seemingly Chase things they are entitled to ignore their promises to their customers and simply ignore requests for redress. It seems to be a deliberate policy to drag out the experience to make the customer miserable.\"",1
But,1
"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX\"",1
XX/XX/2023 was the last day of the XXXX weeks from XX/XX/2023. However,1
Wells Fargo has tried to continue blaming the cable company for supposedly making that XXXX charge against the old,1
( In this case,1
I was not able to obtain any information from the merchant,1
*When I called back today after nothing that I wasn't credited after sending significant proof of return,1
After my dispute with GEMINI,1
Problem # XXXX Synchrony is making access to consumers phones a condition for credit,1
On XX/XX/XXXXXXXX  when I came back from a vacation in XXXX,1
2 ) I ( XXXX XXXX ) Have sent several emails and contacts through the Consumer Protection Bureau,1
XX/XX/2023 : I faxed my notarized statement with the XXXX,1
"Citibank is also making it impossible for the consumer to reach out by telephone to immediately dispute fraudulent charges and obtain new cards or account information placing the consumer in a telephone queue only to then disconnect the call.\"",1
"I feel as though someone at CB/BF has found a way to steal from their customers.\"",1
At the now-empty terminal,1
"XXXX statement : The amount to \\\" Amount to avoid Standard and Deferred Interest '' is XXXX by XX/XX/XXXX. It should have been XXXX",1
"What's so difficult about letting my XXXXXXXX XXXX  just \\\" be ''? Why do we have to go through this?\"",1
In the midst of all this,1
The XXXX XXXX period XX/XX/XXXX - XX/XX/XXXX had a beginning balance of XXXX,1
All in all,1
Because Discover was unhelpful,1
"3 ) Misrepresentation : I received a pre-paid card from XXXX. The document states \\\" Patient Payment Enclosed. '' Along with this",1
I then reached a supervisor by the name of XXXX ( spelling may be different ). We had a friendly conversation where I again,1
I have filed a report with the Police and have the incident numbers below : Incident Number : XXXX,1
USPS Certified Tracking XXXX XXXXXXXX ( delivered on XX/XX/2023 ) XX/XX/2023 : 2nd Notice I resent the copy of the endorsed bill to XXXX XXXX XXXX located at : XXXX XXXX XXXX XXXX,1
I am not sure how this happened,1
"Thank you for your time and consideration.\"",1
"Chase then put the charges back on our credit card stating that XXXX said they were a legitimate purchase. I then sent Chase Fraud Recovery the email I sent to Gametime telling them it was not legitimate and then sent a following email with my call log showing I had called Gametime to alert them of this fraudulent purchase.\"",1
I called in,1
When I called in the representative read me something over the phone,1
XXXX XXXX XXXX XXXX MY MESSAGE TO THE COMPANY WHO OVERCHARGED ME ABOUT THE DISCLAIMER,1
2. Their statements are OFF. Not cool. I think it's kind of slimy and a small way they can take advantage of people. Sure,1
"Citi Bank continues to make false claims and dishonest statements. Their dishonesty and unfaithful behavior has forced me to close my XXXX XXXX credit card account. I hope CFPB investigates further. Such a dishonest bank doesn't deserve my business and loyalty.\"",1
The case number is XXXX for Chase internal inquiry. According to the manager,1
"They never sent me a reason why it was declined. Then say I can apply again due to their error and they would ding my credit again. There has to be some regulation against this.\"",1
I want to be free of this XXXX. nightmare,1
I sent a letter disputing this. Same response. I contacted the credit card company which noted that I disputed the claims,1
"The address of the XXXX buyer : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX\"",1
XXXX XX/XX/23 I received multiple emails from XXXX XXXX,1
"I am very concerned based on this experience that customers are being denied their rights to dispute purchases intentionally and/or unintentionally by BOA. The requested response deadlines provided by BOA could not be met by the typical customer.\"",1
However the email from XXXX  is from XX/XX/XXXX confirming the refund of the money to me,1
"Account Number ; XXXX.\"",1
TransferWise Ltd,1
. CONC XXXX,1
"I guess Im not sure that a credit card company can take things personally like that and deny somebody a card if they qualify.\"",1
"I contacted the company and spoke with management who stated that because I was eligible a separate account was opened for {$1000.00} with fortiva directly. They did NOT contact me via text/phone and I did NOT consent to them using my ssn to open ANYTHING!! I have given the company multiple days to correct this until today I asked via chat to have the account closed!\"",1
I sent an email to XXXXXXXX XXXX asking them to send me proof of no access because Gemini was requesting the proof for the refund ( I sent this email to Gemini on XX/XX/XXXX ),1
"Early Warning Services, LLC",1
*After nearly 4 weeks without a refund,1
Heres what that means No further charges will be approved,1
After thoroughly reviewing the bill of lading from XXXX XXXX XXXX XXXX XXXX I realized that my items could be held in storage for XXXX business days which was totally shocking to me because on my first phone call with XXXX I was told it would take no more than a week after pick up to receive all my items. I immediately relaized that I had been defrauded and decided to cancel my move on XX/XX/XXXX,1
I called their customer support XXXX to verify this,1
The transfer was approved. I activated my XXXX XXXX  XXXX card. On XX/XX/2023,1
"The credit card company is being totally unfair.\"",1
"Transaction Date : XX/XX/2023 Amount : {$9.00}\"",1
"XXXX XXXX : XXXX\"",1
As stated earlier,1
When this pop-up didnt appear,1
We immediately contacted XXXX while our credit card charge was still shown as pending. We were assured that someone would call us back within 24 hours. When they didnt,1
"This is a scam that is being used to defraud families of incarcerated individuals. I am XXXX XXXX XXXX and XXXX. This constitutes elder abuse and I should be refunded my money. I have not received any merchandise. I have filed a police report that can be provided if needed and have included an attachment describing this scam. Discover should reverse these charges and remove them from my account.\"",1
8. Credit card account statements and other communication provided by Citi bank/Best Buy between XXXX XXXX further revealed : deception,1
they are communicating with Third parties XXXX,1
I'd like to have the CFPB to make Citibank follow the terms and conditions of VISA and to respect and uphold my consumer protection rights I have under the Fair Credit Protection Act,1
I called Merchant ( XXXX ) and I asked for explanation for the {$65.00} charge. The Merchant,1
"XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX\"",1
"Denied on XX/XX/2023\"",1
Consumer received an email along with an order number from XXXX indicating that an order had been placed through order number XXXX. Consumer contacted the merchant,1
Thank you respectfully for your time,1
Discover now will not respond to me or provide me with any additional information. They also will not let me appeal the decision I was defrauded by XXXX and now the same with Discover. They will not listen to me,1
"Now I am set up with auto pay out of my checking account so I'm never late on a payment. This is the second time in XXXX that they are harassing myself for filing CFPG complaints. My business credit card ending in XXXX has a late fee of : XX/XX/2023 Hide additional information for activity type Fee {$39.00} LATE PAYMENT FEELATE PAYMENT FEE activity type Fee {$39.00} {$580.00} Transaction XXXXTransaction type : Fee These are harassment issues and Deceptive Practices of Bank Of America using my business credit card .\"",1
XXXX XXXX  XXXX XXXXXXXX XXXX XXXX,1
They said they would take care of it. 10 days later,1
Over the last 2 months I have notified them by phone 8 times,1
The only solution they offered to rectify this was for me to visit a Wells Fargo branch in person with the relevant documents to change my name. The nearest Wells Fargo branch is 86 miles from my home in another state and it seems unreasonable to demand that I travel that distance to change my name with the company,1
In such instances,1
When I attempted to contact golden Sachs credit card over this issue,1
-The report is correct and confirmed by me that my on-line banking password was entered and used during this time. I explained to the fraud department several times at Santander that there is no mystery here,1
If my refund is not processed promptly and I do not receive a satisfactory response within [ a reasonable time frame,1
Now say you make a {$1000.00} purchase with Apple and choose to take advantage of the card benefit and pay over time. Your monthly payment plan on the Apple Card is say {$50.00} but the product you purchased was say {$1000.00}. Goldman Sachs will take {$1000.00} out of your available credit of {$2000.00} and then your {$50.00} will go towards that {$1000.00} not the card itself,1
"Thank you for your immediate attention to this matter.\"",1
Mercedes Benz Financial Services,1
It remained in this status for months. In the meantime we traveled abroad and after we returned late XX/XX/2023 it still had this status. Then,1
Consumer Banking Laws and Codes ( New Jersey ) : In accordance with New Jersey consumer banking laws and codes,1
I feel like this is false advertising and I would have paid them {$690.00} had I known they wouldn't honor their terms. I would have gone with the XXXX XXXX or XXXX XXXX instead,1
To our shock,1
"I got an attorney involved in XXXX who wrote a demand letter to them and it was ignored.\"",1
"XXXX statement : The \\\" Amount to avoid Standard and Deferred Interest '' by XX/XX/XXXX was XXXX. I paid XXXX on XX/XX/XXXX and again attempted to resolve this matter. The total amount of expiring special financing purchases was only XXXX. Again",1
"XX/XX/XXXX XXXX XXXX {$59.00} XX/XX/XXXX XXXX XXXX {$53.00} XX/XX/XXXX XXXX XXXX  {$21.00} XX/XX/XXXX XXXX XXXX  {$37.00} XX/XX/XXXXXXXX XXXX XXXX {$39.00} XX/XX/XXXX XXXX XXXX {$36.00}\"",1
Had I had known Wells Fargo would not have lived up to their agreement on Hurricane Irma Support,1
I have consistently made on-time payments,1
Afterwards; during Summer XXXX,1
"I am attaching a copy of this certified letter sent to XXXX XXXX Please help!\"",1
"I want the CFPB to take action as the Wells Fargo bank has failed to keep its contract on zero liability fraud protection.\"",1
"I feel extremely mislead and duped and now in a horrible situation\"",1
Sellers can send you merchandise that is clearly marked as a gift,1
"Don't use them!!!\"",1
Knowingly supplying false evidence [ listings ] to customers is a crime,1
"XX/XX/2022 XX/XX/2022 XX/XX/2022 I have disputed these remarks but to no avail.\"",1
The company indicated that when paying more that the balance due,1
Sudden reduction in credit limit has a direct negative impact on credit score,1
"Under the FAIR CREDIT PROTECTION ACT that's my consumer right I'm invoking at this time I would like to have the CFPB Ombudsman to make CITIBANK VISA To pursue this Dispute even to take legal action against the Merchant bank. Because other ways it would an Indirect way for CITIBANK VISA saying to the consumers as myself \\\" We can't resolve your problem you deal with them",1
My analysis and assessment of Chase card services collection practices lead me to believe this tactic is being used to collect as much money as they can in a short amount of time,1
"Every representative I have spoken to has confirmed that I met the criteria for the promotional offer back on XX/XX/2023. It's been over 6 months and I have not received the {$100.00} statement credit. XXXX Bank continues to advertise the {$100.00} statement credit promotion via XXXX games and the XXXX XXXX website.\"",1
I hung up the phone and for the first time I when threw all my statements since XX/XX/2023. I found that oon my statements there were a lot of direct payment adjustments on my account that I never made. There as followed XX/XX/2023 XXXX,1
"At this point I am frustrated and request your assistance.\"",1
I would like to underscore that I have been a loyal customer of Synchrony for over eight years,1
"It should be as easy to cancel an account as it is to open one.\"",1
I do not know what rights if any I have to dispute this,1
In the last 2 months since being denied this credit limit increase,1
"I never applied for this card {$500.00} has already been charged to this fraudulent account!\"",1
"I do not thing they are applying the payment correctly as I understand the mandated parts of the XXXX  and XXXX XXXX.\"",1
Their representative agreed to eliminate the penalties I had been assessed over the past XXXX months without knowing it,1
"XXXX was satisfied and said she would contact the police department if she had any further questions or needed assistance.\"",1
To me,1
As a result of this botched balance transfer,1
Within 15 minutes of this interaction,1
Lack of communication. American Expressed has not communicated with me with a statement,1
Customer Service tells me a reward was issued in XX/XX/XXXX,1
I believe it is essential to ensure that all credit applications are evaluated without prejudice and in strict adherence to the principles of fairness and equality enshrined in the law. I would appreciate clarification on whether it is within the legal framework of the ECOA to deny credit to me,1
Another lengthy phone call to Chase,1
2. Their app freezes,1
"The customer service is terrible.\"",1
Capital One has failed to resolve this issue with a reasonable cause. I did not even attempt to utilize more than half of the credit limit,1
I would have never made the decision to use the card,1
Moving forward to the beginning of XXXX,1
17. It has become apparent and the recorded facts demonstrate that the complainant and customers are a target of a well-choreographed script to discriminate,1
"XXXX ( non juridical )\"",1
XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX,1
I am concerned as my privacy and personal data has been breached and abused by Ally Bank and possibly Ollo Credit. I have reached out to Ally and demanded the name of the employee who re-opened a bank account in my name,1
I have been calling and having meaningless conversations with this department for over two months ; they will not refund me,1
"But I never make any transaction and 15 years history never miss any bills. So please mark this as complaint and if need any details happy to provide those cards was lost stolen some one use and make fraud. Id identity theft also may be.\"",1
I called Discover Card immediately. I found that my husband had used the card twice in XXXX of this year,1
"I have called them and verified with them that have they checked my evidences provided for which I was told \\\" oh nobody looked at it \\\" and they said we were told by XXXX that they have provided you points and money which is totally untrue I have no account of this payment or points and American express reversed the payment based on false statement from XXXX XXXX. I'm unhappy with American express because they reversed payment without any proof of points and payment. The letter provided from American Express is also unclear. Hence I'm reporting them as well.\"",1
"Thank you sincerely!\"",1
"Thank you for your prompt attention to this matter. I look forward to a swift resolution and request that you update me on the progress as soon as possible.\"",1
"WHAT THE \\\" XXXX '' IS WRONG WITH THESE PEOPLE? I CAN'T EVEN PAY MY BEST BUY BILL!!!\"",1
"Counter acting Comenity Banks own policy/ies and/or business practices corollary harbors suspicion in Comenity Banks moral and ethical standards of conduct. The dissension and internecine discord not only casts doubt in the integrity of Comenity Bank but concomitantly violates Consumers Rights under the Federal Trade Commission and the rules governed by the Fair Credit Billing Act of 1974.\"",1
Right now,1
Royal Pacific Funding Corporation,1
They essentially had taken my money from my bank account and held it for themselves for over 1-2 weeks. I have never heard of such a thing and their explanations did not make sense. When I first got the XXXX XXXX,1
The transactions that are still under investigation include : - XXXX in XXXX for amounts of {$530.00} ( XX/XX/XXXX ),1
In XXXX of this year,1
After waiting for 3 hours without food,1
"My name is XXXX XXXX XXXX XXXX : XXXX XXXX XXXX {$2000.00}\"",1
MIDFIRST BANK,1
Regarding point # 1,1
"Chase has been quite aggressive after we finalized paying off our car loan earlier this month. They have increased the emails and offers sent to me but this is an absolute fraudulent application.\"",1
Apparently,1
But the merchant didn't cook to my specifications Please transfer me to a supervisor 2 minutes ago Agent profile picture 2 minutes ago Discover We apologize to hear this again,1
"Transaction ID XXXX Transaction date XX/XX/2023 XXXXXXXX XXXX PDT Merchant XXXX XXXX XXXX XXXX XXXX XXXX XXXX\"",1
"I understand there are fraud going on every day in the states which does not mean card provider should OVER-VERIFY their customer and bring them infinite inconvenience\"",1
2. ) Capital One accepting the same compromised identity verification document time and time again is absurd. Not only do that accept the old driver 's license previously proven to be compromised,1
I dont know who are XXXX XXXX,1
I am also being charged interest on this non-existent loan,1
"This is a habit with USAA employees taking matters in the own hands. They show no loyalty to their consumers and their CSRs are rude and argumentative.\"",1
AS FAR AS I AM CONCERNED ... XXXX,1
Best regards,1
"This is egregious. I have significant proof which I can provide.\"",1
The most recent calls I made for help were made purely out of desperation. I was taught to pay my bills on time,1
When I looked up the website claiming I made the purchase it looks fake,1
"My address is on file with chase.\"",1
Gemini representative,1
Today on Sunday,1
Since that time,1
KEY DETAILS & BRIEF FACTS 19. The complainant had purchased a few household items ( Washer/Dryer and two TVs ) from Best Buy in XXXX XXXX,1
Concerned about waiting,1
This was all,1
"It is imperative that the company and the indentured trustee acknowledge and adhere to these laws and regulations promptly.\"",1
This isn't the first time I have trouble with CapitalOne. They are the absolute worst credit card company I have ever dealt with by far. I will be canceling my credit cards with them,1
I am not confident that Chime is acting in good faith in their inquiry and determination processes. And based on easy-to-find rules and guidelines,1
My return was not possibly although the company,1
The charges in question were made on XX/XX/XXXX via XXXX,1
Citibank had attempted to pay themselves {$1800.00}. This was a result of what I had done on the app without realizing it. I immediately contacted Citibank and told them what happened,1
"I am now looking to report this crime and seek enforcement as this is likely a party attacking many US citizens and needs to be punished accordingly.\"",1
The inaccurate information on my credit file by Bank of America has affected my ability to obtain credit and to have the correct information reported by law under the FCRA. Since the information can not be verified,1
"The website for password reset does not recognize my social security number and birthdate.\"",1
"Blitt and Gaines, P.C.",1
"Second dispute : Opened XXXX. I reiterated that I am disputing second charge of {$7000.00}. I again submitted evidence. They ended up AGAIN closing the dispute on XXXX saying I received refund on XXXX. Merchant didn't even submit any evidence. Now I have opened third dispute on XXXX.\"",1
On Saturday,1
USPS Certified Tracking # XXXX ( delivered on XX/XX/2023 ) XX/XX/2023 : 3rd Notice I resent the copy of the endorsed bill to XXXX XXXX XXXX CFO located at : XXXX XXXX  XXXX  XXXX,1
I will also include the Termination of Employment email from my previous employer,1
"This matter was escalated to a manager who knew my request and desired outcome yet he strung me along for close to an hour. I specifically asked and the manageXXXX confirmed he was aware even though he wouldnt do anything.\"",1
"This situation was dishonest and unprofessional on Capital One 's part and no consumer should have to be put through this.\"",1
I CAN BE CONTACTED AT : XXXX XXXX XXXX XXXX XXXX PRIVILEGED MAIL XXXX XXXX XXXX XXXX XXXX XXXX XXXX,1
"I respectfully request the CFPB 's assistance in this matter.\"",1
Despite my attempts to seek clarification and a clear explanation as to why I was deemed ineligible for the bonus,1
My last call to XXXX was on XX/XX/XXXX,1
"Attached copy of Cash App XXXX XXXX form dated : XX/XX/XXXX.\"",1
"I feel that Apple is now colluding with the larger cell phone providers in an effort to force customers to leave the lower cost providers and re-join the higher cost major providers. I'm not sure if the providers are pushing Apple towards this or if it Apple 's own decision but eitherway I believe it should not be permitted.\"",1
Bank should be forced to compensate me for my time since this was their own mistakes and misinformation that lead to this chain of events,1
"I requested via telephone they provide XXXX Wyndham points per their {$1000.00} sign-up bonus terms and they refused stating they could not do this and that I was required to spend {$2000.00}. I requested a courtesy deposit of XXXX Wyndham points and they also refused. I stated I was going to contact to the CFPB and they did not seem care.\"",1
Can not access online either to make payments,1
"However XXXX XXXX has yet again still not notified me of any investigation/ or freeze my account absolutely nothing. For a credit card company to treat there consumer that has paid faithfully every single month and to make the consumer feel like anything but the victim is unacceptable.\"",1
As you can see,1
